player,90s,sca90,goals,assists,gi,gi90
Yacine Adli,25.1,4.1,1,7,8,0.32
Nicolò Barella,32.4,4.05,3,11,14,0.43
Mark Uth,22.5,4.04,5,8,13,0.58
Pascal Groß,22.6,4.02,2,4,6,0.27
Yannick Carrasco,28.7,4.01,6,6,12,0.42
Aleksandr Golovin,16.7,4.01,3,4,7,0.42
Grigoris Kastanos,15,4.01,1,1,2,0.13
Jason Berthomier,19.2,4,1,5,6,0.31
Amine Gouiri,30.6,3.99,10,9,19,0.62
Zlatan Ibrahimović,11.3,3.99,8,2,10,0.88
Paulinho,13.5,3.99,4,1,5,0.37
Bernardo Silva,31.7,3.97,8,4,12,0.38
Enis Bardhi,18.9,3.97,3,3,6,0.32
Ilan Kebbal,19.7,3.96,1,4,5,0.25
Isaac Success,10.1,3.95,2,6,8,0.79
Lucas Paquetá,30,3.9,9,6,15,0.50
Kamaldeen Sulemana,11.3,3.9,4,2,6,0.53
Jadon Sancho,21.1,3.88,3,3,6,0.28
Thomas Lemar,16,3.87,4,5,9,0.56
Juan Cuadrado,27.6,3.87,4,3,7,0.25
Leon Goretzka,15.5,3.87,3,3,6,0.39
Takefusa Kubo,17.8,3.87,1,0,1,0.06
Son Heung-min,33.4,3.86,23,7,30,0.90
Riyad Mahrez,16.6,3.85,11,5,16,0.96
Jonathan Clauss,33.8,3.84,5,11,16,0.47
Rodrygo,16.9,3.84,4,4,8,0.47
Raheem Sterling,23.6,3.81,13,5,18,0.76
Reece James,20.7,3.81,5,9,14,0.68
Enzo Le Fée,24.4,3.81,2,3,5,0.20
Sheraldo Becker,19.5,3.79,4,6,10,0.51
Amine Harit,12.9,3.79,4,4,8,0.62
Riccardo Saponara,14.3,3.79,3,3,6,0.42
Sergio Canales,31,3.77,5,8,13,0.42
Daniel Podence,16.5,3.76,2,3,5,0.30
Piotr Zieliński,23.2,3.75,6,5,11,0.47
Eduard Löwen,15.7,3.75,2,2,4,0.25
Gabriel Jesus,20.9,3.74,8,8,16,0.77
Moses Simon,25.9,3.74,6,8,14,0.54
Daniel Parejo,30,3.73,2,10,12,0.40
Borna Sosa,27.8,3.71,1,8,9,0.32
Memphis Depay,20.6,3.7,12,2,14,0.68
Gerard Moreno,13.2,3.7,9,3,12,0.91
Marcos Alonso,24.1,3.7,4,4,8,0.33
Nicolò Zaniolo,21.9,3.7,2,1,3,0.14
Franck Honorat,32.2,3.69,11,4,15,0.47
Julian Brandt,23.1,3.68,9,8,17,0.74
Raphinha,32.4,3.67,11,3,14,0.43
Houssem Aouar,27.8,3.67,6,4,10,0.36
Stephan El Shaarawy,11.7,3.67,3,0,3,0.26
Adri Embarba,22.1,3.67,0,2,2,0.09
James Maddison,27.3,3.66,12,8,20,0.73
Allan Saint-Maximin,31.2,3.66,5,5,10,0.32
Adnan Januzaj,18.1,3.66,3,0,3,0.17
Rafael Leão,28.9,3.63,11,10,21,0.73
Musa Barrow,23.7,3.63,6,6,12,0.51
Antonio Candreva,34.7,3.61,7,10,17,0.49
Oleksandr Zinchenko,11.6,3.61,0,4,4,0.34
Franck Ribéry,15.8,3.61,0,2,2,0.13
Sofiane Diop,21.6,3.6,6,4,10,0.46
Ryad Boudebouz,25,3.6,3,4,7,0.28
Gastón Pereiro,10.8,3.6,4,2,6,0.56
Luke Shaw,17.8,3.6,0,3,3,0.17
Toni Kroos,23.4,3.59,1,3,4,0.17
Alexis Flips,11.7,3.58,2,4,6,0.51
Thiago Alcántara,17,3.58,1,4,5,0.29
Unai López,12.9,3.57,0,0,0,0.00
Flavien Tait,23.6,3.56,5,3,8,0.34
Rodrigo De Paul,23.9,3.56,3,1,4,0.17
Maximilian Philipp,10.7,3.55,1,4,5,0.47
Oihan Sancet,15.8,3.54,6,4,10,0.63
Phil Foden,23.6,3.51,9,5,14,0.59
Emi Buendía,21.1,3.51,4,6,10,0.47
Patrick Wimmer,22.8,3.51,3,6,9,0.39
Teun Koopmeiners,23.6,3.51,4,1,5,0.21
Marco Reus,27.8,3.49,9,13,22,0.79
İlkay Gündoğan,20.6,3.49,8,4,12,0.58
Alexis Saelemaekers,20.7,3.47,1,3,4,0.19
Ondrej Duda,17.9,3.46,2,0,2,0.11
Hamed Junior Traorè,19.7,3.45,7,2,9,0.46
Solly March,19.4,3.45,0,2,2,0.10
Jesper Lindstrøm,22,3.42,5,4,9,0.41
Cengiz Ünder,24.4,3.4,10,2,12,0.49
Paul Pogba,15,3.4,1,9,10,0.67
Wilfried Zaha,30.7,3.39,14,1,15,0.49
Martinelli,20.7,3.39,6,6,12,0.58
Mikel Oyarzabal,18.6,3.39,9,3,12,0.65
Răzvan Marin,31.3,3.39,0,5,5,0.16
Ivan Perišić,31.3,3.38,8,6,14,0.45
Marco Asensio,19.2,3.38,10,0,10,0.52
Kingsley Coman,15.1,3.38,6,2,8,0.53
Samuel Chukwueze,14.8,3.38,3,3,6,0.41
Andrew Robertson,28.2,3.37,3,10,13,0.46
