player,team,position,x,y
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,73.0,58.4
Hormipam Ruivah,Kerala Blasters,Right Center Back,44.8,51.2
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,56.1,33.5
Soraisham Sandeep Singh,Kerala Blasters,Left Back,32.7,9.0
Mohammad Yasir,Hyderabad,Right Midfield,91.3,72.8
Soraisham Sandeep Singh,Kerala Blasters,Left Back,49.4,3.1
Asish Rai,Hyderabad,Right Back,105.6,70.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,2.8,17.1
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,19.5,40.5
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,4.4,44.8
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,52.2,31.5
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,42.9,31.0
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,31.3,12.0
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,31.3,16.4
Halicharan Narzary,Hyderabad,Left Midfield,79.3,25.5
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,39.7,13.2
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,37.7,10.5
Soraisham Sandeep Singh,Kerala Blasters,Left Back,10.4,6.5
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,80.6,66.5
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,85.0,14.6
Mohammad Yasir,Hyderabad,Right Midfield,37.3,73.2
Sahil Tavora,Hyderabad,Right Defensive Midfield,36.1,74.8
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,99.2,35.9
Mohammad Yasir,Hyderabad,Right Midfield,99.0,75.2
Mohammad Yasir,Hyderabad,Right Midfield,111.0,66.9
Soraisham Sandeep Singh,Kerala Blasters,Left Back,30.7,3.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,27.2,3.1
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,32.7,4.8
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,28.1,6.5
Sahil Tavora,Hyderabad,Right Defensive Midfield,90.6,72.9
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,98.6,29.7
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,41.0,61.6
Javier Siverio Toro,Hyderabad,Right Center Forward,78.6,55.4
Javier Siverio Toro,Hyderabad,Right Center Forward,91.2,65.8
Asish Rai,Hyderabad,Right Back,67.6,76.0
Mohammad Yasir,Hyderabad,Right Midfield,67.6,76.0
Sahil Tavora,Hyderabad,Right Defensive Midfield,80.5,70.5
Asish Rai,Hyderabad,Right Back,18.4,67.2
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,79.7,40.3
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,65.8,36.1
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,75.1,70.0
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,76.1,71.5
Asish Rai,Hyderabad,Right Back,63.3,75.3
Asish Rai,Hyderabad,Right Back,54.3,74.3
Akash Mishra,Hyderabad,Left Back,23.4,33.9
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,109.3,55.1
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,38.3,9.6
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,40.4,3.1
Marko Lešković,Kerala Blasters,Left Center Back,28.1,40.5
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,45.9,49.5
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,44.0,25.3
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,44.0,31.4
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,41.8,55.4
Soraisham Sandeep Singh,Kerala Blasters,Left Back,78.4,9.7
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,99.6,4.5
Khassa Camara,Hyderabad,Left Defensive Midfield,37.5,53.3
Javier Siverio Toro,Hyderabad,Right Center Forward,76.5,20.5
Halicharan Narzary,Hyderabad,Left Midfield,74.9,27.5
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,43.6,48.4
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,63.0,51.6
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,54.9,8.7
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,84.9,56.2
Javier Siverio Toro,Hyderabad,Right Center Forward,88.4,62.5
Sahil Tavora,Hyderabad,Right Defensive Midfield,39.7,31.5
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,91.9,33.8
Soraisham Sandeep Singh,Kerala Blasters,Left Back,69.7,23.2
Aaren D''Silva,Hyderabad,Right Midfield,46.6,49.6
Khassa Camara,Hyderabad,Left Defensive Midfield,48.0,46.0
Khassa Camara,Hyderabad,Left Defensive Midfield,57.8,48.4
Khassa Camara,Hyderabad,Left Defensive Midfield,63.8,25.5
Akash Mishra,Hyderabad,Left Back,45.9,14.9
Halicharan Narzary,Hyderabad,Left Midfield,31.3,10.0
Khassa Camara,Hyderabad,Left Defensive Midfield,34.1,41.4
Asish Rai,Hyderabad,Right Back,11.4,70.1
Sahil Tavora,Hyderabad,Right Defensive Midfield,52.9,19.2
Halicharan Narzary,Hyderabad,Left Midfield,86.3,3.6
Khassa Camara,Hyderabad,Left Defensive Midfield,70.4,2.7
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,31.9,78.0
Asish Rai,Hyderabad,Right Back,34.3,73.5
Javier Siverio Toro,Hyderabad,Right Center Forward,48.8,51.5
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,56.7,24.8
Khassa Camara,Hyderabad,Left Defensive Midfield,61.9,15.8
Sahil Tavora,Hyderabad,Right Defensive Midfield,57.8,66.7
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,62.9,23.1
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,44.5,27.3
Soraisham Sandeep Singh,Kerala Blasters,Left Back,71.1,13.9
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,67.6,6.2
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,66.4,36.7
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,64.2,11.1
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,52.7,41.0
Chencho Gyeltshen,Kerala Blasters,Right Center Forward,44.1,77.6
Chencho Gyeltshen,Kerala Blasters,Right Center Forward,49.9,60.3
Hormipam Ruivah,Kerala Blasters,Right Center Back,36.0,53.9
Khassa Camara,Hyderabad,Left Defensive Midfield,27.4,18.8
Chencho Gyeltshen,Kerala Blasters,Right Center Forward,69.8,74.6
Halicharan Narzary,Hyderabad,Left Midfield,85.4,15.1
Asish Rai,Hyderabad,Right Back,11.2,69.7
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,72.8,74.0
Konsham Chinglensana Singh,Hyderabad,Left Center Back,14.4,11.9
Hormipam Ruivah,Kerala Blasters,Right Center Back,46.2,6.4
Halicharan Narzary,Hyderabad,Left Midfield,113.9,73.1
Chencho Gyeltshen,Kerala Blasters,Right Center Forward,86.5,8.5
Hormipam Ruivah,Kerala Blasters,Right Center Back,39.0,69.9
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,71.4,73.7
Javier Siverio Toro,Hyderabad,Right Center Forward,46.6,45.8
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,60.3,64.3
Khassa Camara,Hyderabad,Left Defensive Midfield,69.3,19.1
Akash Mishra,Hyderabad,Left Back,54.2,13.9
Soraisham Sandeep Singh,Kerala Blasters,Left Back,79.7,4.1
Hormipam Ruivah,Kerala Blasters,Right Center Back,16.0,65.8
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,34.4,64.4
Aaren D''Silva,Hyderabad,Right Midfield,86.6,67.3
Aaren D''Silva,Hyderabad,Right Midfield,100.3,75.7
Marko Lešković,Kerala Blasters,Left Center Back,26.1,15.2
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,93.4,53.3
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,31.7,43.8
Khassa Camara,Hyderabad,Left Defensive Midfield,90.8,42.4
Chencho Gyeltshen,Kerala Blasters,Right Center Forward,73.9,70.9
Halicharan Narzary,Hyderabad,Left Midfield,52.6,6.4
Hormipam Ruivah,Kerala Blasters,Right Center Back,30.3,69.0
Harmanjot Singh Khabra,Kerala Blasters,Right Back,9.4,58.2
Khassa Camara,Hyderabad,Left Defensive Midfield,89.2,41.4
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,29.9,51.6
Chencho Gyeltshen,Kerala Blasters,Right Center Forward,34.8,52.6
Asish Rai,Hyderabad,Right Back,98.2,73.4
Hormipam Ruivah,Kerala Blasters,Right Center Back,49.1,48.0
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,49.2,26.8
Jitendra Singh,Jamshedpur,Right Defensive Midfield,32.2,20.2
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,49.8,20.6
Soraisham Sandeep Singh,Kerala Blasters,Left Back,100.2,4.5
Vincy Barretto,Kerala Blasters,Left Center Forward,65.5,63.4
Vincy Barretto,Kerala Blasters,Left Center Forward,60.3,69.0
Ayush Adhikari,Kerala Blasters,Left Defensive Midfield,58.5,64.4
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,18.4,73.7
Aaren D''Silva,Hyderabad,Right Midfield,78.3,70.1
Asish Rai,Hyderabad,Right Back,63.8,76.6
Asish Rai,Hyderabad,Right Back,42.4,75.3
Konsham Chinglensana Singh,Hyderabad,Left Center Back,13.9,57.1
Sahil Tavora,Hyderabad,Right Defensive Midfield,27.6,69.7
Konsham Chinglensana Singh,Hyderabad,Left Center Back,65.7,24.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,54.3,40.1
Halicharan Narzary,Hyderabad,Left Midfield,71.8,29.7
Harmanjot Singh Khabra,Kerala Blasters,Right Back,29.9,72.5
Hormipam Ruivah,Kerala Blasters,Right Center Back,8.4,69.5
Sahil Tavora,Hyderabad,Right Defensive Midfield,88.4,44.4
Vincy Barretto,Kerala Blasters,Left Center Forward,34.9,32.9
Halicharan Narzary,Hyderabad,Left Midfield,103.7,11.8
Chencho Gyeltshen,Kerala Blasters,Right Center Forward,89.6,70.3
Vincy Barretto,Kerala Blasters,Left Center Forward,77.7,62.3
Hormipam Ruivah,Kerala Blasters,Right Center Back,52.6,58.1
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,47.0,44.2
Hormipam Ruivah,Kerala Blasters,Right Center Back,33.4,34.1
Ishan Pandita,Jamshedpur,Center Attacking Midfield,77.3,39.2
Ishan Pandita,Jamshedpur,Center Attacking Midfield,110.6,42.4
Marko Lešković,Kerala Blasters,Left Center Back,30.9,14.6
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,65.3,26.1
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,106.1,73.1
Ritwik Kumar Das,Jamshedpur,Left Wing,40.6,15.0
Jitendra Singh,Jamshedpur,Right Defensive Midfield,36.9,8.9
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,82.1,70.4
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,4.3,73.1
Jitendra Singh,Jamshedpur,Right Defensive Midfield,85.3,55.6
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,47.5,15.4
Laldinliana Renthlei,Jamshedpur,Right Back,59.2,69.2
Pronay Halder,Jamshedpur,Left Defensive Midfield,38.0,29.0
Ayush Adhikari,Kerala Blasters,Right Defensive Midfield,103.5,30.2
Eli Sabia Filho,Jamshedpur,Right Center Back,33.0,66.4
Greg Stewart,Jamshedpur,Right Wing,35.8,74.4
